transaction_id,account_id,transaction_date,transaction_type,amount,channel,merchant_category,is_flagged,customer_id
500001,100155,2023-05-19 09:09:00,Debit,5613.04,Card,Electronics,N,1190
500002,101037,2023-06-22 17:38:00,Credit,6075.36,NetBanking,Electronics,N,837
500003,101321,2023-03-03 07:35:00,Credit,3820.8,ATM,Electronics,N,676
500004,100896,2023-11-08 16:27:00,Debit,25317.21,ATM,Electronics,N,1156
500005,100993,2023-08-04 08:05:00,Debit,20715.89,Branch,Electronics,N,127
500006,100245,2023-03-09 00:20:00,Debit,14191.38,UPI,Electronics,N,130
500007,101324,2023-08-13 23:30:00,Debit,4193.32,UPI,Salary,N,49
500008,101386,2023-04-23 20:00:00,Credit,2928.48,UPI,Shopping,N,603
500009,101378,2023-03-28 13:08:00,Debit,873.65,Card,Fuel,N,432
500010,100386,2023-09-10 03:49:00,Debit,800.27,UPI,Rent,N,800
500011,100759,2023-05-23 05:38:00,Credit,3207.87,UPI,Groceries,N,57
500012,101336,2023-01-23 22:43:00,Credit,1689.29,NetBanking,Rent,N,271
500013,100414,2023-10-03 21:34:00,Credit,12282.6,ATM,Salary,N,806
500014,101302,2023-02-07 10:26:00,Credit,6749.61,ATM,Salary,N,897
500015,100715,2023-07-22 10:14:00,Credit,8930.34,UPI,Electronics,N,738
500016,100759,2023-07-05 07:22:00,Debit,13623.51,UPI,Salary,N,57
500017,100747,2023-04-01 08:39:00,Debit,16242.57,UPI,Rent,N,525
500018,100593,2023-01-08 01:25:00,Debit,15770.46,ATM,Salary,N,524
500019,101380,2023-04-02 13:46:00,Debit,4633.95,Card,Rent,N,159
500020,100839,2023-10-10 13:02:00,Credit,24981.55,Card,Electronics,N,368
500021,100016,2023-07-23 09:20:00,Debit,37562.53,UPI,Electronics,N,146
500022,100993,2023-06-12 06:49:00,Debit,5795.61,NetBanking,Salary,N,127
500023,101069,2023-01-12 06:11:00,Debit,358.19,UPI,Shopping,N,641
500024,101345,2023-03-02 04:25:00,Debit,34512.44,UPI,Groceries,N,208
500025,100651,2023-10-13 10:37:00,Credit,38666.53,NetBanking,Electronics,N,19
500026,101350,2023-08-25 13:12:00,Debit,884.35,UPI,Fuel,N,1114
500027,100148,2023-11-21 20:39:00,Debit,174.53,Card,Fuel,N,686
500028,100355,2023-04-20 17:45:00,Debit,25525.33,UPI,Electronics,N,219
500029,101260,2023-09-28 20:14:00,Credit,5481.51,UPI,Shopping,N,923
500030,100703,2023-01-13 16:37:00,Credit,37003.01,Card,Shopping,N,1042
500031,100613,2023-12-26 05:22:00,Debit,3764.43,UPI,Salary,N,581
500032,100105,2023-10-16 18:44:00,Credit,29715.91,UPI,Electronics,N,1037
500033,101498,2023-08-28 03:50:00,Credit,1166.71,ATM,Salary,N,238
500034,100396,2023-11-28 14:56:00,Credit,4629.49,UPI,Rent,N,1121
500035,101470,2023-09-25 07:38:00,Credit,54350.55,NetBanking,Groceries,N,36
500036,100606,2023-05-20 12:06:00,Credit,4043.8,NetBanking,Groceries,N,647
500037,101244,2023-11-07 08:38:00,Debit,2240.97,Card,Rent,N,682
500038,100851,2023-06-30 08:37:00,Credit,29279.39,UPI,Rent,N,307
500039,100442,2023-01-03 18:55:00,Credit,1980.06,ATM,Rent,N,74
500040,100873,2023-11-30 17:48:00,Credit,1638.07,Card,Groceries,N,226
500041,100667,2023-08-11 21:16:00,Credit,5960.68,UPI,Electronics,N,740
500042,101052,2023-01-07 09:21:00,Debit,15231.38,UPI,Fuel,Y,1081
500043,100794,2023-01-14 20:21:00,Debit,18706.77,NetBanking,Shopping,N,639
500044,100475,2023-02-10 13:38:00,Debit,32059.61,ATM,Shopping,N,728
500045,100628,2023-07-30 21:25:00,Credit,11777.69,Card,Salary,N,1038
500046,101329,2023-11-04 17:55:00,Debit,7598.73,UPI,Fuel,N,970
500047,101429,2023-02-18 21:42:00,Debit,6767.0,Card,Salary,Y,823
500048,100502,2023-09-22 00:53:00,Debit,28250.23,UPI,Groceries,N,735
500049,100348,2023-04-18 15:42:00,Debit,19400.28,NetBanking,Electronics,N,897
500050,101264,2023-04-16 08:34:00,Credit,35476.07,UPI,Fuel,N,453
500051,101018,2023-11-16 06:02:00,Credit,49978.33,NetBanking,Rent,N,849
